id,userId,eventId,createdAt,updatedAt
f9f1319d-068c-4e49-a114-fa8a1bf14fe9,05554e0f-7984-4181-8be6-6398d2606100,568f863f-d50e-491b-89b1-c354a84238de,2024-12-02 02:19:29,2024-12-02 02:19:29
fecc111d-3619-47b1-a0ac-df7e01122094,05554e0f-7984-4181-8be6-6398d2606100,247d273c-e612-4d6a-b74d-bbb82efdf964,2024-05-04 19:48:37,2024-05-04 19:48:37
fcd86886-ee8b-40ab-ba24-e596c3c6d7fa,05554e0f-7984-4181-8be6-6398d2606100,e65f9c51-7f69-4df6-84a8-a113164e9a31,2024-04-30 18:17:15,2024-04-30 18:17:15
5a256a00-473b-4017-9620-f570c8d17462,05554e0f-7984-4181-8be6-6398d2606100,847c2f77-a1ab-4754-af75-b90c9437f1ff,2025-01-03 21:47:21,2025-01-03 21:47:21
d71a9e57-59e7-4495-8d5f-e3d38674aa20,05554e0f-7984-4181-8be6-6398d2606100,2d132378-5739-4dbc-b973-b75bc0fc0f63,2024-08-14 05:56:31,2024-08-14 05:56:31
0c03e59f-0eef-4cb0-8b82-20becaef37e9,664a3e35-b211-4b73-9e46-8d6835ab8b5f,8a833e1e-14fd-47f7-acb3-58183559198e,2024-07-20 10:27:16,2024-07-20 10:27:16
40b9d5d8-e523-45cb-8018-1a2730f36a73,664a3e35-b211-4b73-9e46-8d6835ab8b5f,2c0a4c90-b800-49e8-9a13-4cbe30f49fe7,2024-03-24 07:39:52,2024-03-24 07:39:52
341652e5-046e-4a97-ac92-44c6414aa7da,664a3e35-b211-4b73-9e46-8d6835ab8b5f,49b0b765-0f92-45bc-bc13-a15ed0361a0d,2024-07-15 12:14:18,2024-07-15 12:14:18
d8d0758c-1a13-4713-9f81-704237ec6390,664a3e35-b211-4b73-9e46-8d6835ab8b5f,0b869fa6-f01c-4c12-9bdd-c476a05f6873,2024-12-11 20:21:34,2024-12-11 20:21:34
bdf70e98-dd46-4e61-a9e7-d3b52f87f270,664a3e35-b211-4b73-9e46-8d6835ab8b5f,8d28e4eb-3457-49bd-ac41-2413761d986f,2024-04-07 19:13:05,2024-04-07 19:13:05
